,correlation,mutual_info,rfe,tree_importance,permutation,shap,votes,keep
2ndFlrSF,True,True,True,True,True,True,6,True
TotalSF,True,True,True,True,True,True,6,True
OverallQual,True,True,True,True,True,True,6,True
HouseAge,True,True,True,True,True,True,6,True
BsmtFinSF1,True,True,True,True,True,True,6,True
KitchenQual_Ex,True,True,True,True,True,True,6,True
GarageCars,True,True,True,True,True,True,6,True
GrLivArea,True,True,True,True,True,True,6,True
LotFrontage,True,True,False,True,True,True,5,True
ExterQual_TA,True,True,False,True,True,True,5,True
GarageType_Attchd,True,True,False,True,True,True,5,True
KitchenQual_Gd,True,True,False,True,True,True,5,True
CentralAir_Y,True,False,True,True,True,True,5,True
CentralAir_N,True,False,True,True,True,True,5,True
HeatingQC_TA,True,True,False,True,True,True,5,True
HeatingQC_Ex,True,True,True,False,True,True,5,True
BsmtFinType1_GLQ,True,True,False,True,True,True,5,True
MSZoning_RM,True,True,False,True,True,True,5,True
BsmtQual_Gd,True,True,False,True,True,True,5,True
1stFlrSF,True,True,True,True,False,True,5,True
KitchenQual_TA,True,True,False,True,True,True,5,True
TotalBsmtSF,True,True,False,True,True,True,5,True
Fireplaces,True,True,False,True,True,True,5,True
GarageYrBlt,True,True,False,True,True,True,5,True
BsmtQual_Ex,True,True,True,True,False,True,5,True
GarageArea,True,True,False,True,True,True,5,True
MasVnrArea,True,True,False,True,True,True,5,True
YearRemodAdd,True,True,False,True,True,True,5,True
YearBuilt,True,True,False,True,True,True,5,True
OverallCond,False,True,True,True,True,True,5,True
RemodAge,True,True,False,True,True,True,5,True
TotalBaths,True,True,False,True,True,True,5,True
QualByArea,True,True,False,True,True,True,5,True
PorchSF,True,True,False,True,True,True,5,True
GarageFinish_Unf,True,True,False,True,True,True,5,True
GarageType_Detchd,True,True,False,True,True,True,5,True
LotArea,False,True,False,True,True,True,4,True
MSZoning_RL,False,False,True,True,True,True,4,True
BsmtQual_TA,True,True,False,True,False,True,4,True
SaleType_New,True,True,True,False,True,False,4,True
BsmtUnfSF,False,True,False,True,True,True,4,True
