,log_rmse_mean,log_rmse_std,log_mae_mean,log_mae_std,log_mse_mean,log_mse_std,log_r2_mean,log_r2_std,log_adj_r2_mean,log_adj_r2_std,dollar_rmse_mean,dollar_rmse_std,dollar_mae_mean,dollar_mae_std,dollar_mse_mean,dollar_mse_std,dollar_r2_mean,dollar_r2_std,dollar_mape_mean,dollar_mape_std,fit_time_s,pred_latency_ms_per_row
ElasticNet,0.11110272558129908,0.014984701025083506,0.07766606062419787,0.005781493176889242,0.012523448643442356,0.0032656924308093666,0.919770522815812,0.02089185717779454,,,20470.63684823299,3120.563680379283,13601.833568575466,1227.7771688193395,426837307.11887604,131031619.28323928,0.9311391859232707,0.018731075375043267,0.07945964379246269,0.007719920500088449,2.372788600003696,3.6241952217639435
Lasso,0.11212682311388304,0.015369002456759246,0.07827650901863167,0.006016039714392103,0.012761389450824714,0.0033616700082736276,0.9182544976105607,0.021580960432093708,,,20716.920075063194,3390.125616410213,13735.270813665233,1372.7615413121264,438385138.7525889,144700764.09386602,0.9291743890974852,0.021401318580935993,0.0802101493100182,0.008076371651309677,1.322506960001192,2.117484115036587
Ridge,0.11401775985887612,0.015470669509541235,0.07967475652652531,0.005379315685436212,0.013191522855295105,0.0034810829119123594,0.9155950534155919,0.021414704080128497,,,20762.952680523005,3022.4515128202547,13905.24275191771,1272.023448512647,438408374.5315169,130318537.58573218,0.9292488391115743,0.018174957242613303,0.08166114519628125,0.0076364839499327005,1.2601553600019542,2.8734181831334107
CatBoost,0.11538421500355042,0.012086510059405914,0.07895898215555376,0.00408230384148116,0.01343038405231845,0.0027637452950604827,0.9138438319112584,0.01787545348225238,,,24105.970296132822,6808.538868311625,14271.787891649577,1321.8530737204433,618182765.1350858,372612047.3302848,0.9059433320949749,0.03536885176699002,0.08053373930888451,0.006626103016060774,7.609258520000731,0.6350287854542055
GradientBoosting,0.12377635141549825,0.01281999426384779,0.08531672951863199,0.004598507648551447,0.015452066972072987,0.003125485706235871,0.9006709016517256,0.021619054817949228,,,25098.796360985994,6486.903749180315,15334.080698763977,1799.531407471236,663613514.9711474,348631757.2715065,0.8980913396118062,0.03344541294154548,0.08724521894804632,0.007261116203408926,7.4801128799939764,0.8158249257243254
LightGBM,0.12894253849774587,0.011578027904664763,0.08939038327953927,0.0057481061030020325,0.016733418818371627,0.0030052255053253578,0.8929231300939353,0.01589220987559602,,,26485.003075152625,5524.263262274063,16124.535503656356,947.688797013446,725869375.5635726,312826079.30989987,0.8873430394220472,0.02522279833970173,0.09155447463266035,0.008514303532058957,4.247785420002765,0.75574179450225
XGBoost,0.13005258175771534,0.008920895545288174,0.0900837390514955,0.003079552293842654,0.016977339923711185,0.0022462297012584118,0.891103607955657,0.013425425771811557,,,27666.1243167499,8023.516344696693,16518.01593401424,1951.565608845386,816915886.3367519,495510063.31209147,0.8762078908271504,0.04750515845365499,0.09211081484760196,0.005268855673880892,7.501712959998986,0.9627215993338942
ExtraTrees,0.13083758500693166,0.014940629034519554,0.09043541836580855,0.007722791428360482,0.01729705156720377,0.004043926682658157,0.8898084828003492,0.018897410528833036,,,26849.524750172634,5107.610858221764,16307.143402921653,1103.3830666097374,741767130.2533528,290715946.056585,0.8842147608707007,0.022061539893417387,0.09296039771118622,0.01083008362889289,20.94823034000292,5.117629345210239
Linear,0.13457845692460502,0.014881151255204658,0.09129385615622314,0.005728277432163852,0.01828851999835199,0.004090818426001745,0.8813186984309107,0.03333091550740424,,,27028.057519288843,7497.358116426212,15913.21333226453,1379.5357321430008,775484196.24674,431162483.3263847,0.864754734134058,0.09238869350969967,0.0943793605946265,0.008021193991762097,1.6263992600055643,1.4016972902609965
RandomForest,0.13529820197311318,0.013992126348481952,0.09329149013657499,0.005716898070144728,0.01846222713695883,0.003661315245106623,0.882210073541821,0.018158447615032807,,,27488.50754125081,7065.134768188107,16829.64951862657,1771.5712008029773,795550950.2795308,418512702.6009808,0.8783086102447275,0.038706557554941526,0.09642107872626496,0.00823742297219925,12.30806661999959,4.383709967352921
DecisionTree,0.1915722771096099,0.00948955208087,0.1399177132210964,0.008816707126336943,0.03677197863591759,0.0036532466901511122,0.7636073724708662,0.024178076073396233,,,38963.901069289175,3531.3636347085517,25657.255738967753,1124.967712989732,1528162009.833788,284477717.12296444,0.7535325712214254,0.024929334859897883,0.14524709983855505,0.011610016026756235,1.203896179998992,1.5980399911986216
