model,fold,validation_year,log_rmse,log_mae,dollar_mae,log_r2,log_rmse_se,fit_time_s
baseline,1,2007.0,0.3982356792302536,0.3108815999623899,58252.237084151944,-0.011839108087063455,,
baseline,2,2008.0,0.3800196127013509,0.29284328969391216,50949.69407894738,-2.2151926144520218e-06,,
baseline,3,2009.0,0.41970673308069173,0.3237830715330812,57076.66568047337,-0.0001364346582024556,,
baseline,summary,,0.39932067500409874,,,,0.011469521827769159,0.12472929997602478
ridge,1,2007.0,0.16745288426388408,0.09879487918203593,21621.35941737065,0.8210975075060634,,
ridge,2,2008.0,0.1801961491055768,0.10034648668752584,20721.98918951317,0.7751566997332329,,
ridge,3,2009.0,0.14321194294956796,0.09659910710660871,16802.10575995238,0.8835536581675462,,
ridge,summary,,0.16362032543967628,,,,0.010847031185279842,0.11210599995683879
elastic_net,1,2007.0,0.16933742709713615,0.10038384542888101,22350.961189650712,0.8170480510925395,,
elastic_net,2,2008.0,0.1791779806264271,0.10135440666699468,20853.42562886982,0.7776904009397139,,
elastic_net,3,2009.0,0.14238820244801623,0.0952922256592338,16536.48966489725,0.8848893806012054,,
elastic_net,summary,,0.16363453672385983,,,,0.010996426140059854,0.11722020001616329
gradient_boosting,1,2007.0,0.15397314373370213,0.10229022549603105,20571.70740033443,0.8487410502529761,,
gradient_boosting,2,2008.0,0.12664531954721722,0.09556607066668656,17138.524733338087,0.8889375554585229,,
gradient_boosting,3,2009.0,0.1492916901397753,0.10055053731264392,17644.88556584293,0.8734568486895586,,
gradient_boosting,summary,,0.14330338447356486,,,,0.008437956847006533,4.439635700022336
hist_gradient_boosting,1,2007.0,0.16469033964752733,0.11195331970554638,22559.126117728338,0.8269516841688993,,
hist_gradient_boosting,2,2008.0,0.13922878048255036,0.09883291095241842,17991.40172983191,0.8657708072715107,,
hist_gradient_boosting,3,2009.0,0.1500822770968904,0.10032430659667896,17482.024585837862,0.8721130597759673,,
hist_gradient_boosting,summary,,0.15133379907565603,,,,0.007376708372198849,5.8375634999829344
